question_no,question_type,question_text,options,answer,remote_ques_id,mcq_url,written_url,source_name,scraped_at
1,written,"করিম সাহেব রাতের ট্রেনে ঢাকা যাবেন, রেলস্টেশনে গিয়ে তিনি দেখেন কিছু মানুষ নোংরা-পাতলা কম্বল ও পলিথিন গায়ে দিয়ে ঘুমিয়ে আছে। দু-একজনের সাথে কথা বলে জানতে পারলেন যে, তারা নিজেদের সন্তানদের স্কুলে পাঠান না। ছেলে মেয়েদের আনন্দ দেয়ার জন্য তাদের নেই কোনো রেডিও-টেলিভিশন।","{""options"": [], ""images"": [], ""marker"": ""১"", ""li_text"": ""(১) করিম সাহেব রাতের ট্রেনে ঢাকা যাবেন, রেলস্টেশনে গিয়ে তিনি দেখেন কিছু মানুষ নোংরা-পাতলা কম্বল ও পলিথিন গায়ে দিয়ে ঘুমিয়ে আছে। দু-একজনের সাথে কথা বলে জানতে পারলেন যে, তারা নিজেদের সন্তানদের স্কুলে পাঠান না। ছেলে মেয়েদের আনন্দ দেয়ার জন্য তাদের নেই কোনো রেডিও-টেলিভিশন। এইচএসসি সমাজকর্ম ২য় পত্র সমন্বিত বোর্ড (সকল) - 2026 0 27"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%95%E0%A6%B0%E0%A6%BF%E0%A6%AE-%E0%A6%B8%E0%A6%BE%E0%A6%B9%E0%A7%87%E0%A6%AC-%E0%A6%B0%E0%A6%BE%E0%A6%A4%E0%A7%87%E0%A6%B0-%E0%A6%9F%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%87-%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%AF%E0%A6%BE%E0%A6%AC%E0%A7%87%E0%A6%A8-%E0%A6%B0%E0%A7%87%E0%A6%B2%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%B6%E0%A6%A8%E0%A7%87-%E0%A6%97%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%A4%E0%A6%BF%E0%A6%A8%E0%A6%BF-%E0%A6%A6%E0%A7%87%E0%A6%96%E0%A7%87%E0%A6%A8-%E0%A6%95%E0%A6%BF%E0%A6%9B%E0%A7%81-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%B7-%E0%A6%A8%E0%A7%8B%E0%A6%82%E0%A6%B0%E0%A6%BE%E0%A6%AA%E0%A6%BE""}",,,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
2,written,খাদ্য কী?,"{""options"": [], ""images"": [], ""marker"": ""ক"", ""li_text"": ""(ক) খাদ্য কী? ১ Ans"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%96%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%95%E0%A7%80-24354""}",,24354,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
3,written,"“উন্নত জাতি গঠনে শিক্ষার বিকল্প নেই""-বুঝিয়ে লেখ।","{""options"": [], ""images"": [], ""marker"": ""খ"", ""li_text"": ""(খ) “উন্নত জাতি গঠনে শিক্ষার বিকল্প নেই\""-বুঝিয়ে লেখ। ২ Ans"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%89%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%A4-%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF-%E0%A6%97%E0%A6%A0%E0%A6%A8%E0%A7%87-%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%B2%E0%A7%8D%E0%A6%AA-%E0%A6%A8%E0%A7%87%E0%A6%87%E0%A6%AC%E0%A7%81%E0%A6%9D%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%B2%E0%A7%87%E0%A6%96""}",,,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
4,written,উদ্দীপকে রেলস্টেশনে ঘুমিয়ে থাকা মানুষদের কোন মৌল মানবিক চাহিদা পরিলক্ষিত হয়? বুঝিয়ে লেখ।,"{""options"": [], ""images"": [], ""marker"": ""গ"", ""li_text"": ""(গ) উদ্দীপকে রেলস্টেশনে ঘুমিয়ে থাকা মানুষদের কোন মৌল মানবিক চাহিদা পরিলক্ষিত হয়? বুঝিয়ে লেখ। ৩ Ans"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%A6%E0%A7%80%E0%A6%AA%E0%A6%95%E0%A7%87-%E0%A6%B0%E0%A7%87%E0%A6%B2%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%B6%E0%A6%A8%E0%A7%87-%E0%A6%98%E0%A7%81%E0%A6%AE%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%A5%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%B7%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A7%8B%E0%A6%A8-%E0%A6%AE%E0%A7%8C%E0%A6%B2-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC%E0%A6%BF%E0%A6%95-%E0%A6%9A%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A6%E0%A6%BE-%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%B2%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BF%E0%A6%A4-%E0%A6%B9%E0%A7%9F-%E0%A6%AC%E0%A7%81%E0%A6%9D%E0%A6%BF""}",,,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
5,written,রেলস্টেশনে ঘুমিয়ে থাকা মানুষের সন্তানদের যেসকল মৌল-মানবিক চাহিদার ঘাটতি রয়েছে তা ব্যাখ্যা কর।,"{""options"": [], ""images"": [], ""marker"": ""ঘ"", ""li_text"": ""(ঘ) রেলস্টেশনে ঘুমিয়ে থাকা মানুষের সন্তানদের যেসকল মৌল-মানবিক চাহিদার ঘাটতি রয়েছে তা ব্যাখ্যা কর। ৪ Ans"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%B0%E0%A7%87%E0%A6%B2%E0%A6%B8%E0%A7%8D%E0%A6%9F%E0%A7%87%E0%A6%B6%E0%A6%A8%E0%A7%87-%E0%A6%98%E0%A7%81%E0%A6%AE%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%A5%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%B7%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%AF%E0%A7%87%E0%A6%B8%E0%A6%95%E0%A6%B2-%E0%A6%AE%E0%A7%8C%E0%A6%B2%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%AC%E0%A6%BF%E0%A6%95-%E0%A6%9A%E0%A6%BE%E0%A6%B9%E0%A6%BF%E0%A6%A6%E0%A6%BE%E0%A6%B0-%E0%A6%98%E0%A6%BE%E0%A6%9F%E0%A6%A4%E0%A6%BF-%E0%A6%B0%E0%A7%9F%E0%A7%87%E0%A6%9B%E0%A7%87-%E0%A6%A4%E0%A6%BE-""}",,,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
6,written,"বন উজারকরণ, ইটের ভাটা, গ্রিন হাউজ গ্যাস প্রভৃতি কারণে পৃথিবীর বিভিন্ন স্থানে বন্যা, খড়া, অতিবৃষ্টি, ঘূর্ণিঝড় ইত্যাদি প্রাকৃতিক দুর্যোগ লেগেই আছে। অপরদিকে স্বাস্থ্য সেবা নিতে গিয়ে মানুষ একাধিক ব্যক্তির ব্যবহৃত সুঁচ, সিরিঞ্জ ব্যবহার করে অপরিক্ষিত রক্ত গ্রহণ করছে, যা একটি মারাত্মক সামাজিক সমস্যার বিস্তার ঘটাচ্ছে।","{""options"": [], ""images"": [], ""marker"": ""২"", ""li_text"": ""(২) বন উজারকরণ, ইটের ভাটা, গ্রিন হাউজ গ্যাস প্রভৃতি কারণে পৃথিবীর বিভিন্ন স্থানে বন্যা, খড়া, অতিবৃষ্টি, ঘূর্ণিঝড় ইত্যাদি প্রাকৃতিক দুর্যোগ লেগেই আছে। অপরদিকে স্বাস্থ্য সেবা নিতে গিয়ে মানুষ একাধিক ব্যক্তির ব্যবহৃত সুঁচ, সিরিঞ্জ ব্যবহার করে অপরিক্ষিত রক্ত গ্রহণ করছে, যা একটি মারাত্মক সামাজিক সমস্যার বিস্তার ঘটাচ্ছে। এইচএসসি সমাজকর্ম ২য় পত্র সমন্বিত বোর্ড (সকল) - 2026 0 27"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%AC%E0%A6%A8-%E0%A6%89%E0%A6%9C%E0%A6%BE%E0%A6%B0%E0%A6%95%E0%A6%B0%E0%A6%A3-%E0%A6%87%E0%A6%9F%E0%A7%87%E0%A6%B0-%E0%A6%AD%E0%A6%BE%E0%A6%9F%E0%A6%BE-%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BF%E0%A6%A8-%E0%A6%B9%E0%A6%BE%E0%A6%89%E0%A6%9C-%E0%A6%97%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AD%E0%A7%83%E0%A6%A4%E0%A6%BF-%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%A3%E0%A7%87-%E0%A6%AA%E0%A7%83%E0%A6%A5%E0%A6%BF%E0%A6%AC%E0%A7%80%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%AD%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A8-%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%A8%E0%A7%87-%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE""}",,,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
7,written,অটিজম কী?,"{""options"": [], ""images"": [], ""marker"": ""ক"", ""li_text"": ""(ক) অটিজম কী? ১ Ans"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%85%E0%A6%9F%E0%A6%BF%E0%A6%9C%E0%A6%AE-%E0%A6%95%E0%A7%80-88300""}",,88300,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
8,written,একটি সামাজিক সমস্যা আরেকটি সামাজিক সমস্যার কারণ। বুঝিয়ে লেখ।,"{""options"": [], ""images"": [], ""marker"": ""খ"", ""li_text"": ""(খ) একটি সামাজিক সমস্যা আরেকটি সামাজিক সমস্যার কারণ। বুঝিয়ে লেখ। ২ Ans"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%8F%E0%A6%95%E0%A6%9F%E0%A6%BF-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%95-%E0%A6%B8%E0%A6%AE%E0%A6%B8%E0%A7%8D%E0%A6%AF%E0%A6%BE-%E0%A6%86%E0%A6%B0%E0%A7%87%E0%A6%95%E0%A6%9F%E0%A6%BF-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%95-%E0%A6%B8%E0%A6%AE%E0%A6%B8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0-%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%A3-%E0%A6%AC%E0%A7%81%E0%A6%9D%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%B2%E0%A7%87%E0%A6%96""}",,,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
9,written,উদ্দীপকে কোন সামাজিক সমস্যাকে ইঙ্গিত করা হয়েছে? ব্যাখ্যা কর।,"{""options"": [], ""images"": [], ""marker"": ""গ"", ""li_text"": ""(গ) উদ্দীপকে কোন সামাজিক সমস্যাকে ইঙ্গিত করা হয়েছে? ব্যাখ্যা কর। ৩ Ans"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%A6%E0%A7%80%E0%A6%AA%E0%A6%95%E0%A7%87-%E0%A6%95%E0%A7%8B%E0%A6%A8-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%95-%E0%A6%B8%E0%A6%AE%E0%A6%B8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%95%E0%A7%87-%E0%A6%87%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BF%E0%A6%A4-%E0%A6%95%E0%A6%B0%E0%A6%BE-%E0%A6%B9%E0%A7%9F%E0%A7%87%E0%A6%9B%E0%A7%87-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE-%E0%A6%95%E0%A6%B0""}",,,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
10,written,উদ্দীপকে যে সামাজিক সমস্যার বিস্তারের কথা বলা হয়েছে তা চিহ্নিত করে এটি প্রতিরোধে সমাজকর্মীর ভূমিকা মূল্যায়ন কর।,"{""options"": [], ""images"": [], ""marker"": ""ঘ"", ""li_text"": ""(ঘ) উদ্দীপকে যে সামাজিক সমস্যার বিস্তারের কথা বলা হয়েছে তা চিহ্নিত করে এটি প্রতিরোধে সমাজকর্মীর ভূমিকা মূল্যায়ন কর। ৪ Ans"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%A6%E0%A7%80%E0%A6%AA%E0%A6%95%E0%A7%87-%E0%A6%AF%E0%A7%87-%E0%A6%B8%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%BF%E0%A6%95-%E0%A6%B8%E0%A6%AE%E0%A6%B8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%A5%E0%A6%BE-%E0%A6%AC%E0%A6%B2%E0%A6%BE-%E0%A6%B9%E0%A7%9F%E0%A7%87%E0%A6%9B%E0%A7%87-%E0%A6%A4%E0%A6%BE-%E0%A6%9A%E0%A6%BF%E0%A6%B9%E0%A7%8D%E0%A6%A8%E0%A6%BF%E0%A6%A4-%E0%A6%95%E0%A6%B0%E0%A7%87-%E0%A6%8F%E0%A6%9F%E0%A6%BF-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A4%E0%A6%BF%E0%A6%B0%E0%A7%8B%E0%A6%A7%E0%A7%87""}",,,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
11,written,গ্রাম থেকে আসা রোগীরা হাসপাতালে ভর্তির নিয়ম-কানুন এবং পরিবেশ সম্পর্কে না জানার কারণে তারা বিভিন্ন হয়রানির শিকার হয়। 'X' নামক একটি প্রতিষ্ঠান ৬০ ঊর্ধ্ব মানুষদের জন্য পরামর্শ সেবা এবং নার্সিং হোম স্থাপন করে।,"{""options"": [], ""images"": [], ""marker"": ""৩"", ""li_text"": ""(৩) গ্রাম থেকে আসা রোগীরা হাসপাতালে ভর্তির নিয়ম-কানুন এবং পরিবেশ সম্পর্কে না জানার কারণে তারা বিভিন্ন হয়রানির শিকার হয়। 'X' নামক একটি প্রতিষ্ঠান ৬০ ঊর্ধ্ব মানুষদের জন্য পরামর্শ সেবা এবং নার্সিং হোম স্থাপন করে। এইচএসসি সমাজকর্ম ২য় পত্র সমন্বিত বোর্ড (সকল) - 2026 0 21"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE-%E0%A6%A5%E0%A7%87%E0%A6%95%E0%A7%87-%E0%A6%86%E0%A6%B8%E0%A6%BE-%E0%A6%B0%E0%A7%8B%E0%A6%97%E0%A7%80%E0%A6%B0%E0%A6%BE-%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A7%87-%E0%A6%AD%E0%A6%B0%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%A8%E0%A6%BF%E0%A7%9F%E0%A6%AE%E0%A6%95%E0%A6%BE%E0%A6%A8%E0%A7%81%E0%A6%A8-%E0%A6%8F%E0%A6%AC%E0%A6%82-%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A7%87%E0%A6%B6-%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A7%87-%E0%A6%A8%E0%A6%BE-%E0%A6%9C%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%95%E0%A6%BE""}",,,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
12,written,ক্লিনিক্যাল সমাজকর্ম কী?,"{""options"": [], ""images"": [], ""marker"": ""ক"", ""li_text"": ""(ক) ক্লিনিক্যাল সমাজকর্ম কী? ১ Ans"", ""question_href"": ""https://sattacademy.com/question/%E0%A6%95%E0%A7%8D%E0%A6%B2%E0%A6%BF%E0%A6%A8%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%95%E0%A6%B0%E0%A7%8D%E0%A6%AE-%E0%A6%95%E0%A7%80-35299""}",,35299,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/mcq,https://sattacademy.com/board-exams/social-work-2nd-paper-hsc-combined-boardall-2026/written,sattacademy,2026-09-15T18:38:16+00:00
